GivenName,Surname,Gender,DOB,TelephoneNumber,BloodType
Leilani,Vastenburg,female,8/13/1974,06-26698750,A+
Bauke,van Koert,male,7/26/1964,06-75462553,A+
Paris,Hoff,female,1/5/1976,06-11790240,AB+
Jetty,Koel,female,9/5/1957,06-82076929,B+
Ngoc,de Pee,male,11/21/1981,06-37993351,A+
Amier,Wijnhoven,male,11/15/1990,06-55081122,B-
Nicolas,van Uffelen,male,5/1/1961,06-93695418,A+
Bethany,Verkooijen,female,6/16/1994,06-63337009,A+
Davey,van Aalten,male,7/25/1952,06-12618233,O+
Naziha,Haaksma,female,5/23/1950,06-75943970,B+
Wicher,Stap,male,5/17/1970,06-35082092,A+
Sion,Dooper,male,11/16/1984,06-75076875,A+
Tiana,Wibier,female,6/28/1967,06-19963228,B+
Karima,Mok,female,7/15/1970,06-18332005,O+
Cuno,Anthony,male,10/21/1980,06-59056474,O+
Yasir,Lutters,male,11/9/1968,06-42209340,O+
Salomon,Schrauwen,male,8/18/1951,06-49214752,O+
